date,textArea,nonTextArea,maxLevel,averageLevel,numOfLeaves,numOf1stLevelNodes,numOf2ndLevelNodes,numOf3rdLevelNodes,percentageOfLeafArea,percentageOfLeafArea2,numOfTextGroulp,numOfImageArea,colorFulnessmethod1,Complexity
20040811,0,247957,11,8.737122557726465,1126,1,3,10,29.95300910826025,30.327421722113503,119,20,121.35014475487577,13.846462995258156
20040813,0,249558,11,8.737122557726465,1126,1,3,10,30.146408639559326,30.523238747553815,119,20,123.01137156954705,13.84795596032443
20040815,0,238656,11,8.74757281553398,1133,1,3,10,28.829455678770746,29.189823874755383,121,20,122.78072736165413,13.98940918801789
20040820,0,225456,11,8.7138671875,1024,1,3,10,30.123456790123456,30.5,105,20,119.98859981720021,12.601985292425928
20040825,0,207086,11,8.706666666666667,1050,1,3,10,27.66901822457378,28.014880952380953,114,20,119.72964749181946,13.199550573414632
20040826,0,213216,11,8.811080835603997,1101,1,3,10,27.94369741291185,28.29299363057325,123,20,120.10065163288917,13.924031492781332
20040828,0,213216,11,8.811080835603997,1101,1,3,10,27.94369741291185,28.29299363057325,123,20,120.10065163288917,13.924031492781332
20040830,0,231586,11,8.82046511627907,1075,1,3,10,30.35123587848287,30.730626326963908,114,20,120.35133058072525,13.326457002684936
20040831,0,298107,11,9.162244124336619,1319,1,3,10,32.918902802623734,33.33038908765653,131,23,125.96825367941798,15.619424755374247
20040902,0,273066,11,8.938032532920216,1291,1,3,10,32.85755541116165,33.26827485380117,127,20,123.2452598304104,15.101713194050312
20040904,0,259449,11,9.260086455331413,1388,1,2,5,28.04793409872219,28.39853327495622,134,21,119.26273020657302,15.981435134012322
20040906,0,259449,11,9.260086455331413,1388,1,2,5,28.04793409872219,28.39853327495622,134,21,119.26273020657302,15.981435134012322
20040910,0,259449,11,9.260086455331413,1388,1,2,5,28.04793409872219,28.39853327495622,134,21,121.15765308203133,15.981148044035663
20040914,0,286377,11,9.437373053486798,1477,1,2,5,29.511840722191305,29.8807387312187,138,22,125.04675670979897,16.699942218407692
